ContigID	GOSlim_bin
gi|379109314|gb|JT006984.1|	DNA metabolism
gi|379080574|gb|JR978243.1|	transport
gi|379104031|gb|JT001701.1|	protein metabolism
gi|379089746|gb|JR987415.1|	other metabolic processes
gi|379121238|gb|JT018908.1|	other biological processes
gi|379084064|gb|JR981733.1|	transport
gi|379073487|gb|JR971156.1|	other metabolic processes
gi|379095158|gb|JR992827.1|	signal transduction
gi|379097051|gb|JR994720.1|	signal transduction
gi|379079502|gb|JR977171.1|	cell cycle and proliferation
gi|379111250|gb|JT008920.1|	other metabolic processes
gi|379119725|gb|JT017395.1|	other metabolic processes
gi|379090409|gb|JR988078.1|	signal transduction
gi|379124055|gb|JT021725.1|	cell organization and biogenesis
gi|379076785|gb|JR974454.1|	developmental processes
gi|379109867|gb|JT007537.1|	death
gi|379082701|gb|JR980370.1|	stress response
gi|379088391|gb|JR986060.1|	transport
gi|379100892|gb|JR998561.1|	RNA metabolism
gi|379082833|gb|JR980502.1|	signal transduction
gi|379116393|gb|JT014063.1|	other biological processes
gi|379084176|gb|JR981845.1|	protein metabolism
gi|379076284|gb|JR973953.1|	protein metabolism
gi|379123844|gb|JT021514.1|	RNA metabolism
gi|379095928|gb|JR993597.1|	developmental processes
gi|379076150|gb|JR973819.1|	developmental processes
gi|379104939|gb|JT002609.1|	other biological processes
gi|379090106|gb|JR987775.1|	cell cycle and proliferation
gi|379097457|gb|JR995126.1|	developmental processes
gi|379075509|gb|JR973178.1|	other biological processes
gi|379092602|gb|JR990271.1|	other biological processes
gi|379090952|gb|JR988621.1|	other biological processes
gi|379095104|gb|JR992773.1|	cell cycle and proliferation
gi|379113042|gb|JT010712.1|	other metabolic processes
gi|379087371|gb|JR985040.1|	other biological processes
gi|379097373|gb|JR995042.1|	transport
gi|379093008|gb|JR990677.1|	other metabolic processes
gi|379087829|gb|JR985498.1|	transport
gi|379096981|gb|JR994650.1|	cell cycle and proliferation
gi|379101831|gb|JR999500.1|	other biological processes
gi|379088805|gb|JR986474.1|	other metabolic processes
gi|379078551|gb|JR976220.1|	RNA metabolism
gi|379079036|gb|JR976705.1|	transport
gi|379110061|gb|JT007731.1|	cell cycle and proliferation
gi|379116672|gb|JT014342.1|	other metabolic processes
gi|379099334|gb|JR997003.1|	other biological processes
gi|379106405|gb|JT004075.1|	transport
gi|379119178|gb|JT016848.1|	protein metabolism
gi|379118093|gb|JT015763.1|	signal transduction
gi|379087138|gb|JR984807.1|	signal transduction
gi|379096081|gb|JR993750.1|	death
gi|379115403|gb|JT013073.1|	protein metabolism
gi|379076615|gb|JR974284.1|	other metabolic processes
gi|379111924|gb|JT009594.1|	other biological processes
gi|379118841|gb|JT016511.1|	cell organization and biogenesis
gi|379075084|gb|JR972753.1|	signal transduction
gi|379097747|gb|JR995416.1|	cell cycle and proliferation
